 31  1
       1             6   1              10.984         9
       2             6   2               6.088         6
       3             6   3               1.028         1
       4             8   1               9.893         9
       5             8   2               4.666         4
       6            12   1               3.534         1
       7            12   2               2.064         2
       8            14   1              13.683         9
       9            14   2               5.950         6
      10            14   3               1.027         1
      11            16   1              10.845         9
      12            16   2               6.515         4
      13            16   3              10.049         9
      14            20   1               7.222         1
      15            20   2               4.569         2
      16            22   1             104.171        21
      17            22   2             101.691        28
      18            22   3              27.735        21
      19            24   1              57.011         7
      20            24   2              34.994         6
      21            24   3              40.089        25
      22            26   1              83.114        25
      23            26   2              88.139        30
      24            26   3              35.241        25
      25            27   1              78.023        28
      26            27   2              65.343        21
      27            27   3              35.006        28
      28            28   1              46.999        21
      29            28   2              25.841        10
      30            28   3              22.586        21
 31  2
       1             6   1              10.948         9
       2             6   2               6.082         6
       3             6   3               1.026         1
       4             8   1               9.877         9
       5             8   2               4.649         4
       6            12   1               3.193         1
       7            12   2               2.054         2
       8            14   1              13.310         9
       9            14   2               5.937         6
      10            14   3               1.025         1
      11            16   1              10.802         9
      12            16   2               6.476         4
      13            16   3              10.027         9
      14            20   1               6.488         1
      15            20   2               4.505         2
      16            22   1              99.155        21
      17            22   2             100.749        28
      18            22   3              27.646        21
      19            24   1              54.310         7
      20            24   2              34.267         6
      21            24   3              39.769        25
      22            26   1              80.133        25
      23            26   2              87.218        30
      24            26   3              34.979        25
      25            27   1              75.960        28
      26            27   2              64.766        21
      27            27   3              34.812        28
      28            28   1              45.985        21
      29            28   2              25.601        10
      30            28   3              22.506        21
 31  3
       1             6   1              10.913         9
       2             6   2               6.076         6
       3             6   3               1.024         1
       4             8   1               9.860         9
       5             8   2               4.631         4
       6            12   1               2.880         1
       7            12   2               2.045         2
       8            14   1              12.968         9
       9            14   2               5.926         6
      10            14   3               1.023         1
      11            16   1              10.761         9
      12            16   2               6.438         4
      13            16   3              10.006         9
      14            20   1               5.796         1
      15            20   2               4.443         2
      16            22   1              94.337        21
      17            22   2              99.828        28
      18            22   3              27.557        21
      19            24   1              51.736         7
      20            24   2              33.555         6
      21            24   3              39.449        25
      22            26   1              77.283        25
      23            26   2              86.316        30
      24            26   3              34.718        25
      25            27   1              73.985        28
      26            27   2              64.196        21
      27            27   3              34.618        28
