#gen specno fitness lum vph C Mg Si S Ca Cr Ni0 Fe0
0 49 4.34884475301e+25 9.001 14856.9 0.129913 0.032417 0.50353 0.022319 4.6e-05 4e-05 0.07898 1.6e-05
0 50 3.05976757499e+26 9.064 14556.7 0.119914 0.168186 0.330134 0.025475 0.227806 0.00371 0.016199 0.000419
0 51 3.18544624263e+26 9.049 13508.8 0.239395 0.10208 0.00213 0.132268 0.004893 0.0 0.046915 0.011273
0 52 1.92881651232e+26 9.077 12063.2 0.203021 0.075397 0.0154 0.011613 0.006902 2e-06 5.5e-05 0.203256
0 53 2.20737754904e+26 9.054 11343.5 0.193849 0.000281 0.37989 0.005066 2e-06 0.000223 4.3e-05 0.168435
0 54 1.59163040914e+26 9.066 14145.1 0.033506 0.006083 0.490611 0.001188 0.003224 0.056896 0.0 2.6e-05
0 55 2.07098193293e+26 9.021 10559.7 0.141239 0.024335 0.339499 0.380995 0.002125 0.000157 1e-06 0.02239
0 56 4.53185526337e+26 9.049 9944.6 2.2e-05 0.003877 0.037474 0.000582 0.023459 0.001611 3e-06 0.001326
0 57 2.32853976041e+26 9.087 10694.4 0.150532 0.058408 0.001322 0.001878 9e-06 0.002789 1.5e-05 0.016776
0 58 3.21560336629e+26 9.024 12751.8 0.230811 0.075346 0.044565 0.003586 0.000122 0.003539 8e-06 0.012003
0 59 2.08583620717e+23 9.028 8918.6 0.124963 0.068894 0.041726 0.178875 0.056433 1.2e-05 0.014556 0.000748
0 60 3.91901160357e+26 9.059 11015.8 0.060341 0.003503 0.442134 0.000376 0.038843 3.5e-05 8.8e-05 0.038735
0 61 1.86056357459e+26 9.049 13994.6 0.020801 0.006001 0.032849 0.354923 4e-05 0.016685 7e-06 0.023809
0 62 4.72750666856e+26 9.048 14068.2 0.001755 0.106178 0.394528 2e-05 0.028493 0.001254 0.001787 0.000323
0 63 9.15000866876e+25 9.073 14841.3 0.001104 0.000152 0.131924 0.165608 0.000331 0.014416 0.001171 0.005033
0 64 3.16238095624e+26 9.086 14123.3 0.226273 0.013131 0.163558 0.154151 0.000597 0.001918 0.000467 0.010652
0 65 2.56772596476e+25 9.089 14577.3 0.003497 0.06893 0.000934 0.000223 0.0008 0.000123 0.002504 0.00186
0 66 1.07640251897e+26 9.059 14976.1 0.228133 0.000153 0.350001 0.179064 0.000709 0.002439 0.001805 3.9e-05
0 67 2.45551292822e+26 9.031 10894.2 0.001813 0.028388 0.000165 0.442862 0.005385 0.000921 0.000955 0.030746
0 68 2.82012327228e+26 9.001 14225.7 0.229553 0.000255 0.02348 0.193934 0.076852 0.002575 0.006245 0.016353
0 69 1.96503712982e+26 9.097 12102.7 0.415818 0.000108 0.000451 0.001207 0.000317 0.001317 1.7e-05 0.028598
0 70 2.86799705606e+26 9.04 14545.8 0.151051 0.048133 0.299036 0.333608 0.019487 0.018486 0.000153 0.01653
0 71 7.02634744452e+25 9.079 14906.8 0.116434 0.004167 0.321376 0.462491 0.000573 9.5e-05 3e-06 0.042686
0 72 6.41016112032e+25 9.001 14821.7 0.015433 0.070756 0.432079 5.2e-05 0.000161 1e-06 0.000144 0.224969
0 73 4.39678690417e+26 9.06 11922.1 0.194295 0.013757 0.009249 0.17378 0.080797 2.8e-05 0.013028 0.066924
0 74 3.15418193938e+26 9.044 13808.4 0.001132 0.062814 5.8e-05 0.041119 0.015222 0.000643 0.000673 0.039761
0 75 1.25535405441e+26 9.053 13767.3 0.001204 0.214987 0.005345 0.053344 0.002701 0.097534 2.5e-05 0.000373
0 76 2.52356496572e+26 9.057 13291.3 0.156826 3.2e-05 0.374929 0.277933 6e-06 0.003351 0.000481 0.077012
0 77 4.16141542947e+25 9.089 14937.9 0.211931 5.6e-05 0.098494 0.002685 4e-06 0.00038 0.000908 0.052879
0 78 1.38172052208e+26 9.064 14460.8 0.000651 0.015413 0.000759 0.287957 0.001712 0.005724 9.5e-05 0.077512
0 79 6.08498496983e+25 9.01 14646.5 7.4e-05 0.046489 0.033782 0.000269 0.000445 0.001115 4.6e-05 0.031642
0 80 2.24303442743e+26 9.088 13784.4 0.24093 0.001257 7.3e-05 0.001493 0.001475 0.000248 8e-06 0.023754
0 81 1.77268225144e+26 9.074 14388.2 0.029886 0.105962 0.042173 0.198944 0.023018 0.04075 0.04491 1.5e-05
0 82 1.00162252328e+26 9.038 13083.6 0.001035 0.000121 0.002485 0.020858 4.1e-05 0.000504 3.1e-05 0.655194
0 83 8.44611950626e+25 9.065 10227.1 0.365645 0.000192 0.304105 0.167575 0.000585 0.000512 0.018226 0.000952
0 84 3.39469534738e+26 9.095 14154.5 0.01922 0.110979 0.34544 0.21107 0.026712 0.015497 9e-06 0.107026
0 85 2.23872962852e+26 9.009 11268.6 0.129115 0.000168 0.000332 0.000667 1e-06 4e-06 0.02859 0.03054
0 86 2.97165634248e+26 9.075 14723.7 0.146017 0.040361 0.338868 0.203931 0.011194 0.003672 0.05266 0.01979
0 87 1.55151294315e+26 9.068 9927.9 0.000427 0.001886 0.300908 0.241347 0.127046 1e-06 0.062495 0.017924
0 88 1.6678571426e+26 9.091 13805.0 0.011418 0.052159 0.012301 0.505609 0.006931 0.058877 3.6e-05 0.129139
0 89 2.33075259984e+26 9.076 12962.8 0.127212 0.005727 0.000273 0.000369 0.131423 0.001809 0.048067 0.05629
0 90 4.16864732499e+26 9.05 9678.2 0.000213 0.099927 0.425243 0.147995 0.054323 0.000138 3e-06 0.027082
0 91 3.23230912964e+25 9.05 8513.3 3.2e-05 0.001289 0.50192 0.000269 0.360933 0.000505 0.001576 0.008269
0 92 3.0965476709e+26 9.04 10012.4 0.164631 0.051496 0.342581 0.009799 0.119386 0.000474 0.000161 0.025657
0 93 3.04808640329e+26 9.052 10753.7 0.130425 0.014002 0.06305 0.018868 7.9e-05 5e-05 0.028036 0.029616
0 94 2.51797848143e+26 9.054 10516.4 0.000959 0.18905 0.317643 0.189587 0.00045 0.00046 0.00078 0.178972
0 95 5.28963984214e+26 9.049 10029.2 0.013009 0.042612 0.342348 0.024141 0.000326 0.003634 0.00158 0.006321
0 96 3.0557898394e+26 9.073 11810.5 0.044648 0.018583 0.372181 0.040513 1.3e-05 0.003682 0.000693 0.099401
0 97 2.59597307103e+26 9.011 11642.7 0.005352 3.3e-05 0.059163 0.000288 3.7e-05 0.018628 0.000249 0.000463
0 98 2.2995344758e+26 9.006 12541.5 0.001097 0.085261 0.005696 1.6e-05 0.015406 0.000828 0.005593 0.090072
0 99 2.79696249685e+25 9.035 8918.0 0.000407 5e-06 0.371996 0.248012 0.017486 0.000582 0.000205 0.002779
0 100 3.1589360862e+26 9.092 11508.3 0.157191 0.030817 0.327696 0.32659 0.010833 0.003107 2e-06 0.045327
0 101 2.80979458964e+26 9.072 11616.5 0.024363 0.043738 0.222058 0.297224 0.000926 0.003348 6e-06 6e-06
