 31  1
       1             6   1              10.356         9
       2             6   2               6.001         6
       3             6   3               1.007         1
       4             8   1               9.511         9
       5             8   2               4.299         4
       6            12   1               1.888         1
       7            12   2               2.030         2
       8            14   1              11.628         9
       9            14   2               5.875         6
      10            14   3               1.006         1
      11            16   1              10.266         9
      12            16   2               5.578         4
      13            16   3               9.472         9
      14            20   1               4.285         1
      15            20   2               3.719         2
      16            22   1              78.447        21
      17            22   2              87.225        28
      18            22   3              25.505        21
      19            24   1              35.190         7
      20            24   2              21.183         6
      21            24   3              32.751        25
      22            26   1              60.615        25
      23            26   2              70.708        30
      24            26   3              29.418        25
      25            27   1              62.224        28
      26            27   2              53.314        21
      27            27   3              30.448        28
 31  2
       1             6   1              10.343         9
       2             6   2               5.999         6
       3             6   3               1.006         1
       4             8   1               9.505         9
       5             8   2               4.293         4
       6            12   1               1.797         1
       7            12   2               2.026         2
       8            14   1              11.535         9
       9            14   2               5.870         6
      10            14   3               1.006         1
      11            16   1              10.249         9
      12            16   2               5.561         4
      13            16   3               9.461         9
      14            20   1               3.954         1
      15            20   2               3.687         2
      16            22   1              75.500        21
      17            22   2              86.769        28
      18            22   3              25.463        21
      19            24   1              34.051         7
      20            24   2              20.949         6
      21            24   3              32.629        25
      22            26   1              59.188        25
      23            26   2              70.356        30
      24            26   3              29.325        25
      25            27   1              61.214        28
      26            27   2              53.073        21
      27            27   3              30.370        28
 31  3
       1             6   1              10.331         9
       2             6   2               5.998         6
       3             6   3               1.006         1
       4             8   1               9.498         9
       5             8   2               4.288         4
       6            12   1               1.711         1
       7            12   2               2.022         2
       8            14   1              11.446         9
       9            14   2               5.866         6
      10            14   3               1.006         1
      11            16   1              10.232         9
      12            16   2               5.545         4
      13            16   3               9.449         9
      14            20   1               3.636         1
      15            20   2               3.655         2
      16            22   1              72.634        21
      17            22   2              86.320        28
      18            22   3              25.421        21
      19            24   1              32.951         7
      20            24   2              20.717         6
      21            24   3              32.507        25
      22            26   1              57.805        25
      23            26   2              70.008        30
      24            26   3              29.232        25
      25            27   1              60.234        28
      26            27   2              52.834        21
      27            27   3              30.291        28
 31  4
       1             6   1              10.312         9
       2             6   2               5.996         6
       3             6   3               1.006         1
       4             8   1               9.486         9
       5             8   2               4.279         4
       6            12   1               1.624         1
       7            12   2               2.018         2
       8            14   1              11.352         9
       9            14   2               5.861         6
      10            14   3               1.005         1
      11            16   1              10.209         9
      12            16   2               5.517         4
      13            16   3               9.430         9
      14            20   1               3.323         1
      15            20   2               3.615         2
      16            22   1              69.698        21
      17            22   2              85.714        28
      18            22   3              25.351        21
      19            24   1              31.728         7
      20            24   2              20.357         6
      21            24   3              32.308        25
      22            26   1              56.292        25
      23            26   2              69.480        30
      24            26   3              29.080        25
      25            27   1              59.153        28
      26            27   2              52.460        21
      27            27   3              30.162        28
 31  5
       1             6   1              10.283         9
       2             6   2               5.992         6
       3             6   3               1.005         1
       4             8   1               9.469         9
       5             8   2               4.266         4
       6            12   1               1.533         1
       7            12   2               2.014         2
       8            14   1              11.247         9
       9            14   2               5.855         6
      10            14   3               1.004         1
      11            16   1              10.177         9
      12            16   2               5.475         4
      13            16   3               9.400         9
      14            20   1               2.996         1
      15            20   2               3.562         2
      16            22   1              66.472        21
      17            22   2              84.870        28
      18            22   3              25.242        21
      19            24   1              30.279         7
      20            24   2              19.817         6
      21            24   3              32.000        25
      22            26   1              54.522        25
      23            26   2              68.694        30
      24            26   3              28.846        25
      25            27   1              57.877        28
      26            27   2              51.892        21
      27            27   3              29.962        28
 31  6
       1             6   1              10.255         9
       2             6   2               5.990         6
       3             6   3               1.004         1
       4             8   1               9.452         9
       5             8   2               4.253         4
       6            12   1               1.454         1
       7            12   2               2.010         2
       8            14   1              11.155         9
       9            14   2               5.850         6
      10            14   3               1.004         1
      11            16   1              10.146         9
      12            16   2               5.434         4
      13            16   3               9.371         9
      14            20   1               2.701         1
      15            20   2               3.512         2
      16            22   1              63.470        21
      17            22   2              84.075        28
      18            22   3              25.138        21
      19            24   1              28.954         7
      20            24   2              19.314         6
      21            24   3              31.710        25
      22            26   1              52.889        25
      23            26   2              67.955        30
      24            26   3              28.627        25
      25            27   1              56.696        28
      26            27   2              51.354        21
      27            27   3              29.773        28
 31  7
       1             6   1              10.210         9
       2             6   2               5.986         6
       3             6   3               1.004         1
       4             8   1               9.424         9
       5             8   2               4.233         4
       6            12   1               1.378         1
       7            12   2               2.007         2
       8            14   1              11.053         9
       9            14   2               5.844         6
      10            14   3               1.003         1
      11            16   1              10.099         9
      12            16   2               5.366         4
      13            16   3               9.322         9
      14            20   1               2.428         1
      15            20   2               3.440         2
      16            22   1              60.338        21
      17            22   2              82.862        28
      18            22   3              24.961        21
      19            24   1              27.358         7
      20            24   2              18.498         6
      21            24   3              31.224        25
      22            26   1              50.960        25
      23            26   2              66.756        30
      24            26   3              28.262        25
      25            27   1              55.272        28
      26            27   2              50.461        21
      27            27   3              29.454        28
 31  8
       1             6   1              10.131         9
       2             6   2               5.979         6
       3             6   3               1.003         1
       4             8   1               9.375         9
       5             8   2               4.199         4
       6            12   1               1.305         1
       7            12   2               2.005         2
       8            14   1              10.925         9
       9            14   2               5.836         6
      10            14   3               1.002         1
      11            16   1              10.018         9
      12            16   2               5.248         4
      13            16   3               9.232         9
      14            20   1               2.184         1
      15            20   2               3.327         2
      16            22   1              56.841        21
      17            22   2              80.846        28
      18            22   3              24.644        21
      19            24   1              25.245         7
      20            24   2              17.133         6
      21            24   3              30.386        25
      22            26   1              48.441        25
      23            26   2              64.712        30
      24            26   3              27.637        25
      25            27   1              53.349        28
      26            27   2              48.902        21
      27            27   3              28.896        28
 31  9
       1             6   1              10.057         9
       2             6   2               5.974         6
       3             6   3               1.002         1
       4             8   1               9.329         9
       5             8   2               4.170         4
       6            12   1               1.253         1
       7            12   2               2.003         2
       8            14   1              10.817         9
       9            14   2               5.829         6
      10            14   3               1.002         1
      11            16   1               9.942         9
      12            16   2               5.139         4
      13            16   3               9.146         9
      14            20   1               2.008         1
      15            20   2               3.223         2
      16            22   1              53.957        21
      17            22   2              78.979        28
      18            22   3              24.347        21
      19            24   1              23.483         7
      20            24   2              15.942         6
      21            24   3              29.635        25
      22            26   1              46.304        25
      23            26   2              62.861        30
      24            26   3              27.084        25
      25            27   1              51.677        28
      26            27   2              47.461        21
      27            27   3              28.388        28
 31 10
       1             6   1               9.994         9
       2             6   2               5.970         6
       3             6   3               1.001         1
       4             8   1               9.291         9
       5             8   2               4.147         4
       6            12   1               1.215         1
       7            12   2               2.002         2
       8            14   1              10.729         9
       9            14   2               5.822         6
      10            14   3               1.001         1
      11            16   1               9.877         9
      12            16   2               5.049         4
      13            16   3               9.072         9
      14            20   1               1.877         1
      15            20   2               3.137         2
      16            22   1              51.635        21
      17            22   2              77.391        28
      18            22   3              24.093        21
      19            24   1              22.094         7
      20            24   2              14.989         6
      21            24   3              29.020        25
      22            26   1              44.583        25
      23            26   2              61.329        30
      24            26   3              26.636        25
      25            27   1              50.301        28
      26            27   2              46.243        21
      27            27   3              27.964        28
 31 11
       1             6   1               9.929         9
       2             6   2               5.967         6
       3             6   3               1.001         1
       4             8   1               9.252         9
       5             8   2               4.126         4
