 -15.   1.38
 -12.   0.88
 -10.   0.61
  -8.   0.39
  -6.   0.22
  -4.   0.10
  -2.   0.02
   0.   0.00
   1.   0.01
   2.   0.05
   4.   0.17
  10.   0.63
  11.   0.70
  12.   0.76
  14.   0.86
  80.   4.18
  84.   4.36
  88.   4.51
  96.   4.74
 102.   4.86
 107.   4.94
 400.   8.46
