#name		ra				dec
SN1006_01	15:02:58.27	-41:55:20.90
SN1006_02	15:02:59.95	-41:56:25.20
SN1006_03	15:02:51.80	-41:56:39.97
SN1006_04	15:02:53.35	-41:54:18.00
SN1006_05	15:02:49.97	-41:56:23.90
SN1006_06	15:02:45.68	-41:54:35.20
SN1006_07	15:02:51.19	-41:55:58.50
SN1006_08	15:02:47.00	-41:55:28.30
SN1006_09	15:02:55.07	-41:57:14.40
SN1006_10	15:03:01.87	-41:54:59.20
SN1006_11	15:02:56.05	-41:54:53.50
SN1006_12	15:02:58.83	-41:56:35.50
SN1006_13	15:02:49.22	-41:57:31.10
SN1006_14	15:02:59.24	-41:54:51.60
SN1006_15	15:03:00.33	-41:56:29.80
SN1006_16	15:02:58.09	-41:54:47.90
SN1006_17	15:03:02.49	-41:55:46.70
SN1006_18	15:02:50.99	-41:56:39.40
SN1006_19	15:02:50.12	-41:57:05.50
SN1006_20	15:02:48.03	-41:56:19.40
SN1006_21	15:02:58.44	-41:54:50.10
SN1006_22	15:02:59.95	-41:55:41.90
SN1006_23	15:02:43.94	-41:56:15.40
SN1006_24	15:02:56.14	-41:54:49.20
SN1006_25	15:02:59.79	-41:56:43.20
SN1006_26	15:02:54.92	-41:55:27.70
SN1006_27	15:02:52.72	-41:55:58.90
SN1006_28	15:02:54.86	-41:56:36.40
SN1006_29	15:02:51.84	-41:54:47.90
SN1006_30	15:02:44.71	-41:55:15.40
SN1006_31	15:02:53.41	-41:55:20.50
SN1006_32	15:02:53.61	-41:55:13.70
SN1006_33	15:02:43.38	-41:55:51.50
SN1006_34	15:02:56.13	-41:56:05.10
SN1006_35	15:02:44.66	-41:55:10.00
SN1006_36	15:02:58.70	-41:55:02.92
SN1006_37	15:02:58.96	-41:55:02.57
SN1006_38	15:02:50.29	-41:55:45.60
SN1006_39	15:02:43.76	-41:55:25.60
SN1006_40	15:02:52.23	-41:56:37.96
SN1006_41	15:02:52.06	-41:55:05.20
SN1006_42	15:02:57.08	-41:54:34.30
SN1006_43	15:02:48.27	-41:56:15.90
SN1006_44	15:02:51.96	-41:54:31.40
SN1006_45	15:02:47.43	-41:56:05.30
SN1006_46	15:02:49.93	-41:57:35.30
SN1006_47	15:02:52.86	-41:54:25.70
SN1006_48	15:02:54.52	-41:55:29.90
SN1006_49	15:02:52.83	-41:56:06.10
SN1006_50	15:02:53.93	-41:56:22.60
SN1006_51	15:02:54.58	-41:53:58.40
SN1006_52	15:03:00.97	-41:54:58.60
SN1006_53	15:02:57.45	-41:56:14.70
SN1006_54	15:02:48.09	-41:57:07.70
SN1006_55	15:02:44.67	-41:55:35.90
SN1006_56	15:02:50.38	-41:54:34.50
SN1006_57	15:02:54.15	-41:56:40.90
SN1006_58	15:02:49.42	-41:55:33.50
SN1006_59	15:02:51.38	-41:57:34.90
SN1006_60	15:02:59.64	-41:57:03.80
SN1006_61	15:02:53.45	-41:57:09.20
SN1006_62	15:02:44.94	-41:55:48.30
SN1006_63	15:02:50.89	-41:55:17.40
SN1006_64	15:02:55.53	-41:57:28.30
SN1006_65	15:02:44.57	-41:55:28.20
SN1006_66	15:02:57.28	-41:54:19.60
SN1006_67	15:02:48.88	-41:55:03.40
SN1006_68	15:02:43.51	-41:56:23.90
SN1006_69	15:03:01.11	-41:56:40.20
SN1006_70	15:02:58.01	-41:56:45.00
SN1006_71	15:03:00.93	-41:55:35.30
SN1006_72	15:02:58.39	-41:57:20.60
SN1006_73	15:02:50.64	-41:54:49.50
SN1006_74	15:03:02.32	-41:56:05.20
SN1006_75	15:02:53.19	-41:54:05.50
SN1006_76	15:02:44.17	-41:55:45.80
SN1006_77	15:02:55.98	-41:55:47.40
SN1006_78	15:02:48.76	-41:56:59.90
SN1006_79	15:02:53.45	-41:56:41.70
Calibration_01	15:03:27.44	-42:04:46.30
Calibration_02	15:03:17.47	-42:04:16.50
Calibration_03	15:03:31.96	-42:02:35.60
Calibration_04	15:01:40.53	-41:54:34.10
Calibration_05	15:01:48.48	-41:49:05.40
