     72   8557 0.234662E+16   1277.550    6.00   -0.424     -3     36 0.195E+01
     73  11625 0.204235E+16   1467.877    6.00   -3.120     -4     36 0.826E-03
     74  32594 0.207842E+15  14420.105    6.00    0.423     21     36 0.348E-03
     75   8540 0.234858E+16   1276.483    6.00   -3.960      1     37 0.572E-03
     76   8541 0.234809E+16   1276.750    6.00   -4.060     -2     37 0.453E-03
     77   8549 0.234728E+16   1277.190    6.00   -3.880     -3     37 0.684E-03
     78  11617 0.204302E+16   1467.402    6.00   -1.350     -4     37 0.486E-01
     79  15899 0.169959E+16   1763.909    6.00   -2.510     -5     37 0.594E-03
     80  33052 0.171768E+15  17448.576    6.00    0.040     22     37 0.142E-03
     81   8515 0.235296E+16   1274.109    6.00   -2.940     -3     38 0.594E-02
     82  11559 0.204869E+16   1463.336    6.00   -0.469     -4     38 0.369E+00
     83  32977 0.177444E+15  16890.423    6.00    0.568     22     38 0.464E-03
     84   8471 0.236030E+16   1270.143    6.00   -3.700      1     39 0.104E-02
     85   8477 0.235900E+16   1270.844    6.00   -4.280     -3     39 0.271E-03
     86  11508 0.205474E+16   1459.031    6.00   -1.460     -4     39 0.375E-01
     87  15780 0.171131E+16   1751.827    6.00   -1.107     -5     39 0.149E-01
     88  31821 0.296043E+15  10123.864    6.00   -0.032     14     39 0.131E-03
     89  33533 0.142562E+15  21023.133    6.00   -0.140     23     39 0.900E-04
     90   8365 0.237719E+16   1261.122    6.00   -1.324     -2     40 0.244E+00
     91   8371 0.237638E+16   1261.552    6.00   -0.847     -3     40 0.728E+00
     92  32180 0.256829E+15  11669.641    6.00    0.224     18     40 0.198E-03
     93   8359 0.237792E+16   1260.735    6.00   -1.421      1     41 0.196E+00
     94   8364 0.237743E+16   1260.996    6.00   -1.546     -2     41 0.146E+00
     95   8367 0.237662E+16   1261.426    6.00   -1.324     -3     41 0.243E+00
     96  32178 0.257067E+15  11658.850    6.00    0.000     18     41 0.118E-03
     97   8363 0.237756E+16   1260.927    6.00   -1.421     -2     42 0.195E+00
     98  32174 0.257198E+15  11652.905    6.00   -0.478     18     42 0.394E-04
     99  34909 0.666310E+14  44980.673    6.00    0.070     37     43 0.150E-03
    100  34531 0.802704E+14  37337.658    6.00   -0.090     28     44 0.898E-04
    101  34593 0.774495E+14  38697.556    6.00   -0.030     31     44 0.105E-03
    102  34520 0.804802E+14  37240.299    6.00    0.270     29     45 0.205E-03
    103  34518 0.805397E+14  37212.797    6.00    0.520     30     46 0.362E-03
    104  34592 0.774865E+14  38679.096    6.00    0.340     33     46 0.244E-03
    105  33005 0.175410E+15  17086.248    6.00   -0.570     24     47 0.219E-04
    106  33006 0.175371E+15  17090.057    6.00   -0.240     25     47 0.469E-04
    107  35239 0.537881E+14  55720.607    6.00    0.010     40     47 0.138E-03
    108  34223 0.957617E+14  31297.560    6.00   -0.290     29     48 0.474E-04
    109  32903 0.181963E+15  16470.940    6.00   -0.990     26     49 0.804E-05
    110  34233 0.952640E+14  31461.077    6.00   -0.050     30     49 0.824E-04
    111  34221 0.958106E+14  31281.578    6.00    0.310     30     50 0.188E-03
