 31  1
       1             6   1              13.105         9
       2             6   2               6.420         6
       3             6   3               1.145         1
       4             8   1              10.707         9
       5             8   2               5.522         4
       6            12   1              20.501         1
       7            12   2               2.419         2
       8            14   1              33.614         9
       9            14   2               6.434         6
      10            14   3               1.143         1
      11            16   1              13.043         9
      12            16   2               8.103         4
      13            16   3              10.850         9
      14            20   1              29.927         1
      15            20   2               6.888         2
      16            22   1             223.225        21
      17            22   2             133.547        28
      18            22   3              31.286        21
      19            24   1             149.875         7
      20            24   2              71.100         6
      21            24   3              54.729        25
      22            26   1             175.051        25
      23            26   2             128.777        30
      24            26   3              47.810        25
      25            27   1             139.020        28
      26            27   2              89.772        21
      27            27   3              43.798        28
      28            28   1              75.894        21
      29            28   2              36.250        10
      30            28   3              26.193        21
 31  2
       1             6   1              12.926         9
       2             6   2               6.406         6
       3             6   3               1.139         1
       4             8   1              10.673         9
       5             8   2               5.511         4
       6            12   1              18.194         1
       7            12   2               2.367         2
       8            14   1              30.929         9
       9            14   2               6.369         6
      10            14   3               1.136         1
      11            16   1              12.816         9
      12            16   2               8.082         4
      13            16   3              10.839         9
      14            20   1              26.729         1
      15            20   2               6.700         2
      16            22   1             207.905        21
      17            22   2             131.454        28
      18            22   3              31.234        21
      19            24   1             140.276         7
      20            24   2              69.822         6
      21            24   3              54.533        25
      22            26   1             165.031        25
      23            26   2             126.987        30
      24            26   3              47.637        25
      25            27   1             132.216        28
      26            27   2              88.860        21
      27            27   3              43.681        28
      28            28   1              72.175        21
      29            28   2              35.850        10
      30            28   3              26.143        21
 31  3
       1             6   1              12.754         9
       2             6   2               6.393         6
       3             6   3               1.132         1
       4             8   1              10.639         9
       5             8   2               5.500         4
       6            12   1              15.949         1
       7            12   2               2.316         2
       8            14   1              28.321         9
       9            14   2               6.306         6
      10            14   3               1.129         1
      11            16   1              12.596         9
      12            16   2               8.060         4
      13            16   3              10.828         9
      14            20   1              23.593         1
      15            20   2               6.517         2
      16            22   1             192.809        21
      17            22   2             129.398        28
      18            22   3              31.182        21
      19            24   1             130.862         7
      20            24   2              68.571         6
      21            24   3              54.338        25
      22            26   1             155.192        25
      23            26   2             125.236        30
      24            26   3              47.464        25
      25            27   1             125.530        28
      26            27   2              87.966        21
      27            27   3              43.565        28
      28            28   1              68.522        21
      29            28   2              35.460        10
      30            28   3              26.094        21
 31  4
       1             6   1              12.591         9
       2             6   2               6.378         6
       3             6   3               1.126         1
       4             8   1              10.605         9
       5             8   2               5.483         4
       6            12   1              13.930         1
       7            12   2               2.271         2
       8            14   1              25.971         9
       9            14   2               6.249         6
      10            14   3               1.123         1
      11            16   1              12.394         9
      12            16   2               8.030         4
      13            16   3              10.814         9
      14            20   1              20.793         1
      15            20   2               6.345         2
      16            22   1             179.286        21
      17            22   2             127.441        28
      18            22   3              31.112        21
      19            24   1             122.249         7
      20            24   2              67.216         6
      21            24   3              54.054        25
      22            26   1             146.248        25
      23            26   2             123.444        30
      24            26   3              47.212        25
      25            27   1             119.472        28
      26            27   2              87.028        21
      27            27   3              43.394        28
      28            28   1              65.244        21
      29            28   2              35.052        10
      30            28   3              26.022        21
 31  5
       1             6   1              12.442         9
       2             6   2               6.365         6
       3             6   3               1.120         1
       4             8   1              10.574         9
       5             8   2               5.470         4
       6            12   1              12.011         1
       7            12   2               2.228         2
       8            14   1              23.744         9
       9            14   2               6.194         6
      10            14   3               1.117         1
      11            16   1              12.205         9
      12            16   2               8.004         4
      13            16   3              10.801         9
      14            20   1              18.088         1
      15            20   2               6.184         2
      16            22   1             166.113        21
      17            22   2             125.589        28
      18            22   3              31.053        21
      19            24   1             114.000         7
      20            24   2              66.003         6
      21            24   3              53.817        25
      22            26   1             137.640        25
      23            26   2             121.806        30
      24            26   3              47.003        25
      25            27   1             113.628        28
      26            27   2              86.176        21
      27            27   3              43.253        28
      28            28   1              62.073        21
      29            28   2              34.683        10
      30            28   3              25.963        21
 31  6
       1             6   1              12.312         9
       2             6   2               6.354         6
       3             6   3               1.115         1
       4             8   1              10.549         9
       5             8   2               5.459         4
       6            12   1              10.295         1
       7            12   2               2.189         2
       8            14   1              21.758         9
       9            14   2               6.146         6
      10            14   3               1.111         1
      11            16   1              12.038         9
      12            16   2               7.985         4
      13            16   3              10.791         9
      14            20   1              15.638         1
      15            20   2               6.040         2
      16            22   1             154.106        21
      17            22   2             123.943        28
      18            22   3              31.005        21
      19            24   1             106.587         7
      20            24   2              64.980         6
      21            24   3              53.634        25
      22            26   1             129.872        25
      23            26   2             120.396        30
      24            26   3              46.841        25
      25            27   1             108.346        28
      26            27   2              85.448        21
      27            27   3              43.143        28
      28            28   1              59.197        21
      29            28   2              34.369        10
      30            28   3              25.917        21
 31  7
       1             6   1              12.194         9
       2             6   2               6.342         6
       3             6   3               1.110         1
       4             8   1              10.524         9
       5             8   2               5.445         4
       6            12   1               8.796         1
       7            12   2               2.154         2
       8            14   1              20.023         9
       9            14   2               6.103         6
      10            14   3               1.106         1
      11            16   1              11.890         9
      12            16   2               7.960         4
      13            16   3              10.780         9
      14            20   1              13.498         1
      15            20   2               5.910         2
      16            22   1             143.545        21
      17            22   2             122.424        28
      18            22   3              30.949        21
      19            24   1              99.977         7
      20            24   2              63.935         6
      21            24   3              53.401        25
      22            26   1             122.976        25
      23            26   2             119.020        30
      24            26   3              46.635        25
      25            27   1             103.666        28
      26            27   2              84.721        21
      27            27   3              43.004        28
      28            28   1              56.671        21
      29            28   2              34.057        10
      30            28   3              25.858        21
 31  8
       1             6   1              12.059         9
       2             6   2               6.324         6
       3             6   3               1.103         1
       4             8   1              10.485         9
       5             8   2               5.410         4
       6            12   1               7.356         1
       7            12   2               2.122         2
