
                  LOG R/RS     LOG L/LS         VEL LB          TB

                   4.179       8.850           11700.0       10000.0

        6   C      0.000800     0.000800     0.001339
        8   O      0.548604     0.548603     0.689334
       12   MG     0.100000     0.100000     0.082714
       14   SI     0.250000     0.250000     0.178947
       16   S      0.045000     0.045000     0.028218
       20   CA     0.010001     0.010001     0.005016
       22   TI     0.000140     0.000140     0.000059
       24   CR     0.000700     0.000700     0.000271
       26   FE     0.008000     0.008000     0.002880
       27   CO     0.009797     0.009797     0.003342
       28   NI     0.004581     0.004581     0.001569
       31   GA     0.014935     0.014935     0.004289
       32   GE     0.007443     0.007443     0.002022

     No. of ions =  30            Total No. Included = 73740

  121.316  2351.127  2511.1672  CO II       -3.12   -25147.37    0.367
    0.514  2371.780  2511.2284  CR II       -3.76   -30298.51   -1.432
   25.626  2356.091  2511.3689  FE II       -0.30    -2430.10   -2.534
    0.076  2389.230  2511.3803  FE II        7.92    63876.32   -0.338
    3.074  2399.057  2511.4328  FE III     -10.31   -83138.23   -1.143
  116.601  2353.574  2511.7614  FE II       -2.69   -21711.92    0.306
    2.816  2382.092  2511.9113  FE II       -6.81   -54902.32    0.066
    2.134  2370.929  2511.9471  FE II       -2.86   -23031.30   -2.199
    0.141  2372.439  2511.9766  CR II       -3.74   -30156.79   -2.004
    0.762  2382.294  2512.0316  FE II       -6.81   -54904.22   -0.511
   19.411  2373.017  2512.0604  CO II       -3.21   -25861.60   -1.409
    0.227  2387.058  2512.3759  FE II        5.59    45079.88   -1.064
    0.294  2374.965  2512.3842  CR II       -4.29   -34630.95   -1.379
   15.373  2372.779  2512.3935  CO II       -2.98   -24074.60   -1.650
    0.188  2389.059  2512.5054  CO II        5.63    45378.85   -1.585
   29.806  2375.123  2512.5116  FE II       -4.48   -36126.39   -0.036
    1.370  2370.826  2512.7299  FE II       -2.64   -21308.04   -2.514
    1.017  2386.266  2513.1510  FE II        4.77    38458.98   -0.836
    3.472  2373.577  2513.4036  FE II       -3.20   -25805.33   -1.792
    0.056  2388.017  2513.4498  FE II        5.55    44753.80   -1.696
    0.052  2388.714  2513.5567  CR II        6.15    49564.60   -0.515
    0.066  2382.753  2513.6093  CO II       -5.47   -44090.94   -2.726
    0.373  2388.192  2513.6421  CR II        5.81    46823.39    0.167
    0.083  2388.625  2514.0202  FE II        5.59    45079.88   -1.501
    5.254  2373.860  2514.0940  CO II       -2.68   -21624.64   -2.322
    0.192  2364.775  2514.3156  SI I         0.00        0.00   -0.760
   69.605  2370.095  2514.3830  FE II       -3.81   -30764.48    0.200
    0.147  2389.036  2514.4095  FE II        5.62    45289.80   -1.239
    2.648  2391.203  2514.6219  NI II        6.65    53634.62   -0.314
   18.164  2373.975  2514.9059  FE II       -3.20   -25805.33   -1.021
    9.234  2373.236  2514.9332  FE II       -2.84   -22939.36   -1.547
    0.560  2389.521  2515.0290  CR II        5.82    46905.17    0.349
    2.172  2390.584  2515.1187  FE II        6.22    50142.79    0.251
    0.068  2378.910  2515.5516  FE II       -4.08   -32909.91   -3.025
    7.076  2401.862  2515.9194  CR III      -7.02   -56651.37   -1.309
    0.324  2389.098  2515.9357  FE II        4.85    39109.31   -1.294
    0.831  2373.943  2515.9975  FE II       -2.64   -21308.04   -2.734
   63.727  2384.738  2516.0663  TI III      -4.76   -38425.99    0.460
    0.612  2366.566  2516.1121  SI I        -0.03     -223.16   -0.240
    0.465  2374.352  2516.4068  FE II       -2.64   -21308.04   -2.987
    0.092  2394.295  2516.5540  CR II        8.15    65709.50    0.761
    3.308  2379.206  2516.5609  CO II       -3.41   -27484.61   -2.128
    0.062  2394.200  2516.6052  FE II        7.92    63876.32   -0.432
    4.983  2402.853  2516.8050  CR III      -7.07   -56993.08   -1.456
   60.477  2370.470  2517.1352  FE II       -2.78   -22409.85   -0.545
   11.967  2376.695  2517.2201  FE II       -3.22   -25981.63   -1.214
    7.579  2379.936  2517.3357  CO II       -3.49   -28112.06   -1.710
    0.410  2374.924  2517.4375  TI II       -0.13    -1087.32   -1.340
   57.108  2373.948  2517.4376  CO II       -3.14   -25317.65   -0.798
    0.214  2394.202  2517.4655  NI II        6.82    55018.71   -1.332
    0.411  2393.360  2517.9714  FE II        6.22    50187.81   -0.479
