 31  1
       1             6   1              10.296         9
       2             6   2               5.995         6
       3             6   3               1.006         1
       4             8   1               9.475         9
       5             8   2               4.270         4
       6            12   1               1.728         1
       7            12   2               2.024         2
       8            14   1              11.433         9
       9            14   2               5.865         6
      10            14   3               1.005         1
      11            16   1              10.203         9
      12            16   2               5.490         4
      13            16   3               9.411         9
      14            20   1               3.798         1
      15            20   2               3.621         2
      16            22   1              73.712        21
      17            22   2              85.605        28
      18            22   3              25.281        21
      19            24   1              32.682         7
      20            24   2              20.056         6
      21            24   3              32.108        25
      22            26   1              57.679        25
      23            26   2              69.098        30
      24            26   3              28.928        25
      25            27   1              60.086        28
      26            27   2              52.148        21
      27            27   3              30.032        28
      28            28   1              40.427        21
      29            28   2              20.160        10
      30            28   3              20.463        21
 31  2
       1             6   1              10.288         9
       2             6   2               5.994         6
       3             6   3               1.005         1
       4             8   1               9.470         9
       5             8   2               4.267         4
       6            12   1               1.662         1
       7            12   2               2.021         2
       8            14   1              11.367         9
       9            14   2               5.862         6
      10            14   3               1.005         1
      11            16   1              10.191         9
      12            16   2               5.478         4
      13            16   3               9.403         9
      14            20   1               3.538         1
      15            20   2               3.597         2
      16            22   1              71.326        21
      17            22   2              85.272        28
      18            22   3              25.252        21
      19            24   1              31.820         7
      20            24   2              19.902         6
      21            24   3              32.027        25
      22            26   1              56.572        25
      23            26   2              68.859        30
      24            26   3              28.867        25
      25            27   1              59.304        28
      26            27   2              51.984        21
      27            27   3              29.980        28
      28            28   1              40.040        21
      29            28   2              20.091        10
      30            28   3              20.439        21
 31  3
       1             6   1              10.279         9
       2             6   2               5.993         6
       3             6   3               1.005         1
       4             8   1               9.466         9
       5             8   2               4.263         4
       6            12   1               1.598         1
       7            12   2               2.018         2
       8            14   1              11.303         9
       9            14   2               5.858         6
      10            14   3               1.005         1
      11            16   1              10.179         9
      12            16   2               5.467         4
      13            16   3               9.395         9
      14            20   1               3.285         1
      15            20   2               3.573         2
      16            22   1              68.989        21
      17            22   2              84.944        28
      18            22   3              25.223        21
      19            24   1              30.979         7
      20            24   2              19.749         6
      21            24   3              31.947        25
      22            26   1              55.490        25
      23            26   2              68.622        30
      24            26   3              28.806        25
      25            27   1              58.540        28
      26            27   2              51.822        21
      27            27   3              29.928        28
      28            28   1              39.663        21
      29            28   2              20.023        10
      30            28   3              20.416        21
 31  4
       1             6   1              10.261         9
       2             6   2               5.991         6
       3             6   3               1.005         1
       4             8   1               9.455         9
       5             8   2               4.255         4
       6            12   1               1.531         1
       7            12   2               2.014         2
       8            14   1              11.229         9
       9            14   2               5.854         6
      10            14   3               1.004         1
      11            16   1              10.157         9
      12            16   2               5.441         4
      13            16   3               9.376         9
      14            20   1               3.031         1
      15            20   2               3.537         2
      16            22   1              66.507        21
      17            22   2              84.389        28
      18            22   3              25.156        21
      19            24   1              29.947         7
      20            24   2              19.419         6
      21            24   3              31.759        25
      22            26   1              54.204        25
      23            26   2              68.132        30
      24            26   3              28.664        25
      25            27   1              57.616        28
      26            27   2              51.468        21
      27            27   3              29.805        28
      28            28   1              39.247        21
      29            28   2              19.871        10
      30            28   3              20.360        21
 31  5
       1             6   1              10.227         9
       2             6   2               5.988         6
       3             6   3               1.004         1
       4             8   1               9.434         9
       5             8   2               4.240         4
       6            12   1               1.456         1
       7            12   2               2.011         2
       8            14   1              11.135         9
       9            14   2               5.849         6
      10            14   3               1.004         1
      11            16   1              10.121         9
      12            16   2               5.391         4
      13            16   3               9.339         9
      14            20   1               2.758         1
      15            20   2               3.480         2
      16            22   1              63.600        21
      17            22   2              83.445        28
      18            22   3              25.024        21
      19            24   1              28.561         7
      20            24   2              18.803         6
      21            24   3              31.397        25
      22            26   1              52.516        25
      23            26   2              67.225        30
      24            26   3              28.392        25
      25            27   1              56.381        28
      26            27   2              50.799        21
      27            27   3              29.568        28
      28            28   1              38.743        21
      29            28   2              19.581        10
      30            28   3              20.251        21
 31  6
       1             6   1              10.177         9
       2             6   2               5.983         6
       3             6   3               1.003         1
       4             8   1               9.403         9
       5             8   2               4.218         4
       6            12   1               1.377         1
       7            12   2               2.008         2
       8            14   1              11.025         9
       9            14   2               5.843         6
      10            14   3               1.003         1
      11            16   1              10.068         9
      12            16   2               5.315         4
      13            16   3               9.284         9
      14            20   1               2.476         1
      15            20   2               3.401         2
      16            22   1              60.294        21
      17            22   2              82.102        28
      18            22   3              24.826        21
      19            24   1              26.859         7
      20            24   2              17.916         6
      21            24   3              30.863        25
      22            26   1              50.454        25
      23            26   2              65.905        30
      24            26   3              27.992        25
      25            27   1              54.846        28
      26            27   2              49.807        21
      27            27   3              29.215        28
      28            28   1              38.158        21
      29            28   2              19.148        10
      30            28   3              20.088        21
 31  7
       1             6   1              10.105         9
       2             6   2               5.978         6
       3             6   3               1.002         1
       4             8   1               9.359         9
       5             8   2               4.189         4
       6            12   1               1.303         1
       7            12   2               2.005         2
       8            14   1              10.901         9
       9            14   2               5.835         6
      10            14   3               1.002         1
      11            16   1               9.994         9
      12            16   2               5.210         4
      13            16   3               9.202         9
      14            20   1               2.214         1
      15            20   2               3.296         2
      16            22   1              56.740        21
      17            22   2              80.256        28
      18            22   3              24.541        21
      19            24   1              24.868         7
      20            24   2              16.716         6
      21            24   3              30.122        25
      22            26   1              48.041        25
      23            26   2              64.078        30
      24            26   3              27.442        25
      25            27   1              53.005        28
      26            27   2              48.406        21
      27            27   3              28.718        28
      28            28   1              37.510        21
      29            28   2              18.534        10
      30            28   3              19.855        21
 31  8
       1             6   1              10.028         9
       2             6   2               5.972         6
       3             6   3               1.002         1
       4             8   1               9.311         9
       5             8   2               4.159         4
       6            12   1               1.246         1
       7            12   2               2.004         2
       8            14   1              10.784         9
       9            14   2               5.826         6
      10            14   3               1.002         1
      11            16   1               9.913         9
      12            16   2               5.097         4
      13            16   3               9.112         9
      14            20   1               2.010         1
      15            20   2               3.187         2
      16            22   1              53.518        21
      17            22   2              78.276        28
      18            22   3              24.228        21
      19            24   1              22.992         7
      20            24   2              15.492         6
      21            24   3              29.345        25
      22            26   1              45.737        25
      23            26   2              62.149        30
      24            26   3              26.872        25
      25            27   1              51.197        28
      26            27   2              46.894        21
      27            27   3              28.188        28
      28            28   1              36.907        21
      29            28   2              17.869        10
      30            28   3              19.600        21
 31  9
       1             6   1               9.954         9
       2             6   2               5.968         6
       3             6   3               1.001         1
       4             8   1               9.266         9
       5             8   2               4.134         4
       6            12   1               1.203         1
       7            12   2               2.003         2
       8            14   1              10.679         9
       9            14   2               5.819         6
      10            14   3               1.001         1
      11            16   1               9.834         9
      12            16   2               4.992         4
      13            16   3               9.022         9
      14            20   1               1.854         1
      15            20   2               3.085         2
      16            22   1              50.743        21
      17            22   2              76.381        28
      18            22   3              23.926        21
      19            24   1              21.372         7
      20            24   2              14.395         6
      21            24   3              28.630        25
      22            26   1              43.707        25
      23            26   2              60.349        30
      24            26   3              26.354        25
      25            27   1              49.558        28
      26            27   2              45.451        21
      27            27   3              27.690        28
      28            28   1              36.375        21
      29            28   2              17.235        10
      30            28   3              19.354        21
 31 10
       1             6   1               9.872         9
       2             6   2               5.963         6
       3             6   3               1.001         1
       4             8   1               9.218         9
       5             8   2               4.108         4
       6            12   1               1.165         1
       7            12   2               2.002         2
       8            14   1              10.566         9
       9            14   2               5.810         6
      10            14   3               1.001         1
      11            16   1               9.746         9
      12            16   2               4.879         4
      13            16   3               8.921         9
      14            20   1               1.719         1
      15            20   2               2.976         2
      16            22   1              47.968        21
      17            22   2              74.286        28
      18            22   3              23.590        21
      19            24   1              19.755         7
      20            24   2              13.271         6
      21            24   3              27.877        25
      22            26   1              41.635        25
      23            26   2              58.417        30
      24            26   3              25.814        25
      25            27   1              47.829        28
      26            27   2              43.864        21
      27            27   3              27.152        28
      28            28   1              35.826        21
      29            28   2              16.538        10
      30            28   3              19.082        21
 31 11
       1             6   1               9.779         9
       2             6   2               5.959         6
       3             6   3               1.000         1
       4             8   1               9.164         9
       5             8   2               4.083         4
       6            12   1               1.130         1
       7            12   2               2.001         2
       8            14   1              10.438         9
       9            14   2               5.799         6
      10            14   3               1.000         1
      11            16   1               9.642         9
      12            16   2               4.756         4
      13            16   3               8.803         9
      14            20   1               1.591         1
      15            20   2               2.855         2
      16            22   1              45.027        21
      17            22   2              71.890        28
      18            22   3              23.205        21
      19            24   1              18.087         7
      20            24   2              12.102         6
      21            24   3              27.070        25
      22            26   1              39.430        25
      23            26   2              56.287        30
      24            26   3              25.243        25
      25            27   1              45.919        28
      26            27   2              42.065        21
      27            27   3              26.556        28
      28            28   1              35.220        21
      29            28   2              15.751        10
      30            28   3              18.770        21
 31 12
       1             6   1               9.678         9
       2             6   2               5.954         6
       3             6   3               1.000         1
       4             8   1               9.106         9
       5             8   2               4.060         4
       6            12   1               1.098         1
       7            12   2               2.001         2
       8            14   1              10.294         9
       9            14   2               5.786         6
      10            14   3               1.000         1
      11            16   1               9.526         9
      12            16   2               4.628         4
      13            16   3               8.669         9
      14            20   1               1.473         1
      15            20   2               2.727         2
      16            22   1              41.975        21
      17            22   2              69.247        28
      18            22   3              22.781        21
      19            24   1              16.436         7
      20            24   2              10.955         6
      21            24   3              26.249        25
      22            26   1              37.166        25
      23            26   2              54.035        30
      24            26   3              24.670        25
      25            27   1              43.868        28
      26            27   2              40.100        21
      27            27   3              25.923        28
      28            28   1              34.563        21
      29            28   2              14.899        10
      30            28   3              18.424        21
 31 13
       1             6   1               9.580         9
       2             6   2               5.950         6
       3             6   3               1.000         1
       4             8   1               9.052         9
       5             8   2               4.042         4
       6            12   1               1.073         1
       7            12   2               2.000         2
       8            14   1              10.147         9
       9            14   2               5.771         6
      10            14   3               1.000         1
      11            16   1               9.407         9
      12            16   2               4.512         4
      13            16   3               8.531         9
      14            20   1               1.373         1
      15            20   2               2.607         2
      16            22   1              39.084        21
      17            22   2              66.612        28
      18            22   3              22.360        21
