  2509.17    0.12048E-15    0.89252E-17    0.22186-159    0.16436-160    0.78314E-15
  2696.91    0.17244E-14    0.15515E-15    0.14002E-14    0.12598E-15    0.11127E-14
  2699.73    0.17316E-14    0.15622E-15    0.11246E-14    0.10146E-15    0.11179E-14
  2702.56    0.17244E-14    0.15599E-15    0.13662E-14    0.12359E-15    0.11232E-14
  2705.39    0.17221E-14    0.15621E-15    0.12260E-14    0.11121E-15    0.11285E-14
  2708.22    0.17420E-14    0.15844E-15    0.15791E-14    0.14362E-15    0.11338E-14
  2711.05    0.17489E-14    0.15950E-15    0.18498E-14    0.16870E-15    0.11391E-14
  2713.89    0.17533E-14    0.16033E-15    0.20657E-14    0.18890E-15    0.11445E-14
  2716.73    0.17535E-14    0.16078E-15    0.15518E-14    0.14229E-15    0.11498E-14
  2719.57    0.17582E-14    0.16165E-15    0.98803E-15    0.90840E-16    0.11551E-14
  2722.41    0.17924E-14    0.16524E-15    0.80539E-15    0.74248E-16    0.11605E-14
  2725.26    0.18258E-14    0.16877E-15    0.13046E-14    0.12059E-15    0.11659E-14
  2728.11    0.18410E-14    0.17063E-15    0.13880E-14    0.12864E-15    0.11713E-14
  2730.97    0.18472E-14    0.17167E-15    0.13853E-14    0.12874E-15    0.11767E-14
  2733.83    0.18430E-14    0.17174E-15    0.15521E-14    0.14463E-15    0.11821E-14
  2736.69    0.18412E-14    0.17203E-15    0.11714E-14    0.10944E-15    0.11876E-14
  2739.55    0.18580E-14    0.17406E-15    0.18098E-14    0.16955E-15    0.11930E-14
  2742.42    0.18759E-14    0.17621E-15    0.18887E-14    0.17741E-15    0.11985E-14
  2745.28    0.18882E-14    0.17784E-15    0.14631E-14    0.13780E-15    0.12039E-14
  2748.16    0.19050E-14    0.17991E-15    0.13217E-14    0.12482E-15    0.12094E-14
  2751.03    0.19512E-14    0.18476E-15    0.13242E-14    0.12539E-15    0.12149E-14
  2753.91    0.20085E-14    0.19069E-15    0.11555E-14    0.10971E-15    0.12204E-14
  2756.79    0.20680E-14    0.19686E-15    0.20037E-14    0.19074E-15    0.12259E-14
  2759.68    0.21316E-14    0.20346E-15    0.20124E-14    0.19208E-15    0.12315E-14
  2762.56    0.21802E-14    0.20865E-15    0.17946E-14    0.17175E-15    0.12370E-14
  2765.45    0.22134E-14    0.21239E-15    0.20565E-14    0.19734E-15    0.12426E-14
  2768.35    0.22664E-14    0.21805E-15    0.16337E-14    0.15718E-15    0.12481E-14
  2771.24    0.23029E-14    0.22215E-15    0.13139E-14    0.12674E-15    0.12537E-14
  2774.14    0.23356E-14    0.22589E-15    0.15072E-14    0.14577E-15    0.12593E-14
  2777.05    0.24204E-14    0.23472E-15    0.14216E-14    0.13786E-15    0.12649E-14
  2779.95    0.25134E-14    0.24438E-15    0.13842E-14    0.13458E-15    0.12706E-14
  2782.86    0.25941E-14    0.25289E-15    0.18230E-14    0.17772E-15    0.12762E-14
  2785.77    0.26725E-14    0.26122E-15    0.25913E-14    0.25329E-15    0.12818E-14
  2788.69    0.27312E-14    0.26766E-15    0.32341E-14    0.31695E-15    0.12875E-14
