#SELECT
#   TOP 10000
#   pmra, pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))#
#	and (r1mag-kmag)<1.185
#	and e_kmag<0.4
#	and r1mag>16
#pmra pmde
3.88889E-6 4.88056E-6
1.58333E-6 -6.66667E-8
-1.21528E-5 1.16389E-6
-3.10833E-6 2.35E-6
2.77778E-7 3.38889E-7
2.68333E-6 1.25E-6
-5.53889E-6 8.1E-6
-1.30111E-5 1.56472E-5
-2.40833E-6 -4.05556E-7
2.61111E-7 1.60556E-6
-2.75833E-6 2.15556E-6
-2.78056E-6 -1.71667E-6
-9.48056E-6 6.5E-7
-5.875E-6 -1.91833E-5
-6.61111E-6 3.82694E-5
4.04722E-6 6.075E-6
-9.44444E-7 1.63889E-7
3.14722E-6 -1.26667E-6
4.13611E-6 -1.11222E-5
-7.63611E-6 4.49444E-6
-2.79167E-6 1.4E-6
-5.69167E-6 6.51667E-6
2.27778E-6 -8.34444E-6
-1.33056E-6 -8.83333E-7
3.13889E-7 -4.325E-6
1.24806E-5 -6.02778E-7
7.15278E-6 8.58333E-7
4.75278E-6 -5.87222E-6
5.96944E-6 -4.37778E-6
-9.91667E-7 6.57222E-6
2.3E-6 -8.08333E-7
5.68056E-6 2.07222E-6
5.47778E-5 -3.59222E-5
-4.58056E-6 -3.125E-6
-1.10917E-5 2.26972E-5
-8.36111E-7 -2.41667E-7
2.50556E-6 1.57778E-6
-8.75833E-6 -1.36389E-6
-6.60556E-6 -9.06389E-6
-4.13889E-7 -1.85E-6
-3.13333E-6 6.52778E-7
-1.58056E-6 -4.78056E-6
-4.21111E-6 -4.22778E-6
4.50278E-6 5.78611E-6
-2.05833E-6 -3.73889E-6
-4.09444E-6 1.475E-6
-6.71111E-6 9.925E-6
-6.00278E-6 -1.78889E-6
-1.55556E-7 -1.07611E-5
-4.5E-7 2.78889E-6
1.66667E-6 -2.83056E-6
7.44167E-6 -2.43611E-6
1.5E-7 2.18889E-6
-1.18806E-5 -3.15278E-6
-2.43056E-6 -4.91667E-7
-3.125E-6 3.07222E-6
-3.86667E-6 1.35139E-5
-5.04722E-6 4.45833E-6
-1.20361E-5 -4.86667E-6
-9.31111E-6 -2.55278E-6
-3.25361E-5 -7.45278E-6
-4.41667E-7 -4.36944E-6
-1.74444E-6 -3.21389E-6
7.23889E-6 1.68333E-6
2.98333E-6 1.96389E-6
1.87778E-6 -2.94722E-6
-1.76944E-6 2.69722E-6
-1.26389E-6 1.17222E-6
-7.475E-6 -1.26111E-6
-5.08333E-7 -4.93333E-6
3.43889E-6 3.73056E-6
-3.38889E-7 -7.94444E-7
1.84444E-6 -5.63889E-7
-1.1E-6 9.5E-7
-2.89722E-6 6.69444E-7
2.21111E-6 2.04444E-6
-3.05556E-8 -9.88056E-6
-1.36667E-6 -5.77778E-6
-1.33889E-6 -1.11944E-6
-1.64722E-6 7.47222E-7
-4.71944E-6 -1.69444E-7
-3.45833E-6 3.01111E-6
4.53889E-6 -5.36944E-6
1.91944E-6 1.87222E-6
-2.56944E-6 -2.44167E-6
-7.58333E-7 9.16667E-8
-5.52778E-7 -2.75278E-6
-2.16944E-6 3.34722E-6
-1.08056E-6 -3.80556E-7
-5.83333E-6 -3.33889E-6
2.5E-7 3.0E-6
4.94444E-7 3.85556E-6
4.56389E-6 2.16667E-6
-5.44444E-6 1.22222E-6
4.38889E-6 2.44167E-6
-1.53333E-6 -3.53056E-6
2.11111E-7 -1.03611E-6
-2.71111E-6 -9.16667E-7
-9.38889E-7 3.27778E-6
3.09444E-6 -1.05556E-6
4.30278E-6 -4.33056E-6
-3.975E-6 1.13056E-6
-5.65278E-6 -4.58333E-7
-2.75E-7 -2.65E-6
-3.25E-7 1.08333E-7
-1.51111E-6 -4.36111E-7
-1.74444E-6 -1.87222E-6
-8.52778E-7 -5.47222E-7
1.25556E-6 -7.52778E-7
-1.375E-6 -7.75278E-6
-3.63889E-7 -1.35833E-6
-3.73611E-6 1.37222E-6
-4.05556E-6 -1.97222E-7
-1.20833E-6 -5.54444E-6
-5.68056E-6 -1.93611E-6
-3.05556E-7 -9.99444E-6
2.78333E-6 -5.95833E-6
-2.56667E-6 -1.93333E-6
3.44167E-6 2.925E-6
-5.975E-6 9.19444E-7
-5.89167E-6 -6.16389E-6
-3.33611E-6 5.15833E-6
4.975E-6 5.55E-6
-3.21389E-6 8.97222E-7
-1.34167E-6 -2.36944E-6
-4.44444E-8 -4.99167E-6
-4.66111E-6 -1.09167E-6
3.63333E-6 3.76111E-6
-6.63889E-7 2.15278E-6
-2.62222E-6 -9.30556E-7
6.49167E-6 -1.025E-6
-5.13889E-7 2.27778E-7
-4.83056E-6 -7.51111E-6
-8.02778E-7 -1.33611E-6
-9.83333E-7 -5.55278E-6
-1.55E-6 -3.22222E-7
-2.21389E-6 -1.49722E-6
4.80833E-6 -3.58333E-7
-3.06389E-6 -2.64722E-6
-3.36667E-6 -4.44444E-6
7.52778E-7 -2.18056E-6
-2.13611E-6 -2.62222E-6
-1.23889E-6 -9.47222E-7
2.68611E-6 -9.43889E-6
-5.61111E-7 -2.19444E-7
-2.82778E-6 -1.875E-6
-7.02778E-7 -1.10833E-6
5.94444E-7 -2.42778E-6
6.94444E-7 9.16667E-8
-1.54167E-6 -3.83333E-7
-2.15E-6 1.40556E-6
8.75278E-6 1.45833E-6
-2.39444E-6 7.58333E-7
-2.725E-6 1.74722E-6
-1.67778E-6 -2.16667E-7
3.31389E-6 -1.17778E-6
-1.23611E-6 -4.71111E-6
-5.86111E-7 -2.52778E-7
-4.75E-7 -1.60833E-6
-1.45833E-6 -7.25E-7
-2.40278E-6 -8.33333E-8
-2.09444E-6 -3.41667E-6
-3.79167E-6 -8.38889E-7
-3.92222E-6 2.51111E-6
-2.64167E-6 -6.02778E-7
-1.25833E-6 9.44444E-8
-5.25833E-6 -7.9E-6
-1.99167E-6 -1.19167E-6
-2.11389E-6 -7.75278E-6
-5.05556E-7 -9.08333E-7
5.41667E-7 -2.96389E-6
-1.01944E-6 -4.47222E-7
-1.01778E-5 3.56389E-6
2.325E-6 2.7E-6
3.77778E-7 -1.24444E-6
-1.69722E-6 -1.89167E-6
2.09722E-6 -7.65833E-6
-7.77778E-7 3.41111E-6
-1.775E-6 -5.22778E-6
-1.75E-6 -1.78056E-6
2.09444E-6 5.77778E-7
2.59306E-5 2.41389E-5
-7.49167E-6 -1.59694E-5
-3.08611E-6 -1.25444E-5
-6.53611E-6 -1.13139E-5
-5.82778E-6 -2.34444E-6
-1.14722E-6 1.96111E-6
9.30278E-6 -2.69167E-5
-5.02778E-7 2.47222E-7
-5.25556E-6 -3.62778E-6
-1.63889E-7 -3.58333E-7
-1.90278E-6 -9.44444E-8
-2.13889E-6 -3.08333E-7
-4.34444E-6 1.51667E-6
1.125E-6 -2.22778E-6
-6.43056E-6 -4.36389E-6
-2.01111E-6 4.87778E-6
-9.80556E-7 -1.07778E-6
8.36389E-6 -9.96945E-6
-1.175E-6 -1.70556E-6
1.41389E-6 9.19444E-7
-3.41944E-6 2.70833E-6
-2.06389E-6 -3.51111E-6
-3.50278E-6 -2.18333E-6
-4.58333E-7 2.66667E-7
-2.75E-6 -2.125E-6
-3.53333E-6 -2.43333E-6
-4.16667E-7 -4.72778E-6
7.08333E-7 -4.88333E-6
-5.95278E-6 -3.15E-6
8.52778E-7 9.47222E-7
-6.58333E-7 -1.24722E-6
-2.04722E-6 -1.38889E-6
4.99167E-6 -3.97222E-7
4.87222E-6 3.94167E-6
2.57778E-6 3.46944E-6
9.05556E-7 1.64722E-6
-2.29722E-6 6.83333E-7
-2.55556E-7 -9.19444E-7
-3.30833E-6 -4.41944E-6
-1.68333E-6 -4.13889E-7
-1.76111E-6 1.59722E-6
-3.33611E-6 -9.14444E-6
-6.16667E-7 1.0E-7
-1.52222E-6 -8.86111E-7
-1.75833E-6 -5.83611E-6
-1.01667E-6 -6.31111E-6
4.56111E-6 3.09167E-6
2.63889E-7 -1.24722E-6
-2.25556E-6 -4.72222E-7
2.13667E-5 -7.17E-5
-3.19167E-6 -2.16389E-6
-2.29444E-6 -1.63333E-6
7.83611E-6 -3.43611E-6
-1.31111E-6 -3.41667E-7
-4.38611E-6 -4.58333E-6
-1.02111E-5 -4.61667E-6
2.19722E-6 4.58333E-7
-1.45E-6 -5.55278E-6
-1.44444E-6 3.05556E-8
-3.04444E-6 7.69444E-7
-7.26111E-6 1.5825E-5
4.47778E-6 -1.15333E-5
-5.88889E-7 2.86111E-7
-9.75E-7 -5.13889E-7
1.43333E-6 -9.83333E-7
-2.08056E-6 -1.18611E-6
-7.28889E-6 -6.5E-7
-1.23667E-5 1.55833E-6
9.22222E-7 -1.66944E-6
5.90083E-5 -8.03083E-5
5.63139E-5 -7.48056E-6
1.22222E-6 -1.16389E-6
1.29083E-5 -1.88889E-6
-1.51944E-6 6.05556E-7
1.18611E-6 6.38056E-6
1.875E-6 -1.08611E-6
1.61111E-6 -3.36944E-6
3.025E-6 1.05667E-5
-1.34E-5 7.56361E-5
-4.30556E-7 2.79722E-6
2.77778E-9 1.11111E-7
