#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 2 ))
#	and (r1mag-kmag)<1.
#	and e_kmag<0.4
#	and r1mag>16
#

# pmra          pmde          e_pmra       e_pmde      
  -3.05556E-8   -9.88056E-6   1.05556E-6   1.22222E-6  
  4.53889E-6    -5.36944E-6   1.52778E-6   1.52778E-6  
  -7.58333E-7   9.16667E-8    1.13889E-6   1.13889E-6  
  4.94444E-7    3.85556E-6    1.19444E-6   1.19444E-6  
  -5.44444E-6   1.22222E-6    1.58333E-6   1.58333E-6  
  -2.71111E-6   -9.16667E-7   1.16667E-6   1.16667E-6  
  -1.375E-6     -7.75278E-6   1.25E-6      1.47222E-6  
  -4.05556E-6   -1.97222E-7   1.19444E-6   1.19444E-6  
  -1.20833E-6   -5.54444E-6   1.47222E-6   1.22222E-6  
  -3.05556E-7   -9.99444E-6   1.13889E-6   1.19444E-6  
  2.78333E-6    -5.95833E-6   1.33333E-6   1.33333E-6  
  -2.56667E-6   -1.93333E-6   1.22222E-6   1.22222E-6  
  -5.975E-6     9.19444E-7    1.38889E-6   1.25E-6     
  -5.89167E-6   -6.16389E-6   1.61111E-6   1.61111E-6  
  -3.33611E-6   5.15833E-6    1.33333E-6   1.33333E-6  
  3.63333E-6    3.76111E-6    1.25E-6      1.25E-6     
  -9.83333E-7   -5.55278E-6   1.22222E-6   1.25E-6     
  -3.06389E-6   -2.64722E-6   1.22222E-6   1.22222E-6  
  -2.39444E-6   7.58333E-7    1.30556E-6   1.30556E-6  
  -5.86111E-7   -2.52778E-7   1.25E-6      1.25E-6     
  -3.79167E-6   -8.38889E-7   1.22222E-6   1.22222E-6  
  -3.92222E-6   2.51111E-6    1.58333E-6   1.58333E-6  
  -2.64167E-6   -6.02778E-7   1.27778E-6   1.13889E-6  
  2.325E-6      2.7E-6        1.69444E-6   1.69444E-6  
  -1.775E-6     -5.22778E-6   1.22222E-6   1.22222E-6  
  2.59306E-5    2.41389E-5    1.36111E-6   1.36111E-6  
  -6.53611E-6   -1.13139E-5   1.33333E-6   1.33333E-6  
  9.30278E-6    -2.69167E-5   1.30556E-6   1.36111E-6  
  -1.90278E-6   -9.44444E-8   1.27778E-6   1.27778E-6  
  -2.13889E-6   -3.08333E-7   1.33333E-6   1.33333E-6  
  1.125E-6      -2.22778E-6   1.27778E-6   1.27778E-6  
  -2.01111E-6   4.87778E-6    1.19444E-6   1.25E-6     
  8.36389E-6    -9.96945E-6   1.25E-6      1.25E-6     
  -2.06389E-6   -3.51111E-6   1.22222E-6   1.25E-6     
  -2.75E-6      -2.125E-6     1.22222E-6   1.22222E-6  
  -3.53333E-6   -2.43333E-6   1.33333E-6   1.19444E-6  
  -4.16667E-7   -4.72778E-6   1.13889E-6   1.41667E-6  
  7.08333E-7    -4.88333E-6   1.19444E-6   1.19444E-6  
  -5.95278E-6   -3.15E-6      1.30556E-6   1.30556E-6  
  -6.58333E-7   -1.24722E-6   1.41667E-6   1.25E-6     
  4.87222E-6    3.94167E-6    1.22222E-6   1.19444E-6  
  -3.33611E-6   -9.14444E-6   1.33333E-6   1.41667E-6  
  -1.52222E-6   -8.86111E-7   1.22222E-6   1.22222E-6  
  -1.01667E-6   -6.31111E-6   1.13889E-6   1.16667E-6  
  2.13667E-5    -7.17E-5      1.25E-6      1.25E-6     
  -1.02111E-5   -4.61667E-6   1.52778E-6   1.5E-6      
  2.19722E-6    4.58333E-7    1.27778E-6   1.27778E-6  
  -3.04444E-6   7.69444E-7    1.22222E-6   1.22222E-6  
  -7.26111E-6   1.5825E-5     1.19444E-6   1.19444E-6  
  4.47778E-6    -1.15333E-5   1.25E-6      1.41667E-6  
  -9.75E-7      -5.13889E-7   1.19444E-6   1.19444E-6  
  -1.23667E-5   1.55833E-6    1.58333E-6   1.58333E-6  
  9.22222E-7    -1.66944E-6   1.63889E-6   1.63889E-6  
  5.90083E-5    -8.03083E-5   1.27778E-6   1.27778E-6  
  5.63139E-5    -7.48056E-6   1.33333E-6   1.33333E-6  
  1.18611E-6    6.38056E-6    1.19444E-6   1.22222E-6  
  1.875E-6      -1.08611E-6   1.58333E-6   1.38889E-6  
  1.61111E-6    -3.36944E-6   1.25E-6      1.52778E-6  
  -3.26389E-6   3.61667E-6    1.33333E-6   1.44444E-6  
  -1.38333E-6   2.51944E-6    1.47222E-6   1.25E-6     
  4.64139E-5    -3.995E-5     1.27778E-6   1.25E-6     
  -5.48333E-6   5.225E-6      1.33333E-6   1.5E-6      
  5.76944E-5    -6.53667E-5   1.55556E-6   1.55556E-6  
  4.89444E-6    -2.42778E-6   1.91667E-6   1.91667E-6  
  5.28194E-5    -7.83917E-5   1.44444E-6   1.44444E-6  
