#SELECT
#   TOP 10000
#   pmra, pmde, e_pmra, e_pmde
#   FROM ppmxl.main
#   WHERE 
#      1=CONTAINS(POINT('ICRS', raj2000, dej2000),
#                 CIRCLE('ICRS', 6.3, 64.1, 1 ))
#	and (r1mag-kmag)<1.3
#	and e_kmag<0.4
#	and r1mag>16

# pmra        pmde        e_pmra     e_pmde    
  3.70306E-5  6.31972E-5  1.27778E-6 1.38889E-6
  5.22722E-5  -1.89056E-5 1.08333E-6 1.08333E-6
  -2.03889E-6 7.96667E-6  1.55556E-6 1.55556E-6
  1.51694E-5  -6.43278E-5 1.44444E-6 1.44444E-6
  -2.28333E-6 -1.66667E-7 1.47222E-6 1.47222E-6
  2.16667E-7  -1.13333E-6 1.25E-6    1.38889E-6
  -3.16556E-5 2.27167E-5  1.52778E-6 1.52778E-6
  -5.82222E-6 2.80278E-6  1.69444E-6 1.55556E-6
  -1.63611E-6 -1.16583E-5 1.47222E-6 1.47222E-6
  -7.86111E-7 -1.0E-7     1.08333E-6 1.08333E-6
  -1.16E-5    -5.55556E-9 1.55556E-6 1.52778E-6
  -2.45556E-6 -3.30556E-7 1.44444E-6 1.25E-6   
  -1.27778E-7 2.80556E-6  1.44444E-6 1.44444E-6
  -1.93056E-6 -3.08333E-6 1.25E-6    1.25E-6   
  6.15278E-6  2.81667E-6  1.19444E-6 1.19444E-6
  5.35E-6     6.89167E-6  1.16667E-6 1.19444E-6
  -2.74444E-6 -1.71667E-6 1.13889E-6 1.13889E-6
  1.17222E-6  1.91389E-6  1.22222E-6 1.22222E-6
  2.55556E-6  -4.13889E-7 1.30556E-6 1.30556E-6
  4.78611E-6  -1.86944E-6 1.16667E-6 1.16667E-6
  -7.71389E-6 -1.31E-5    1.11111E-6 1.11111E-6
  -1.92222E-6 -5.85E-6    1.27778E-6 1.47222E-6
  5.4325E-5   -3.93472E-5 1.38889E-6 1.52778E-6
  1.27778E-6  -5.2775E-5  1.47222E-6 1.47222E-6
  -1.27222E-6 9.49167E-6  1.16667E-6 1.16667E-6
  -7.91667E-7 -3.53889E-6 1.16667E-6 1.16667E-6
  5.26667E-6  -1.27167E-5 1.22222E-6 1.22222E-6
  -3.61389E-5 7.44417E-5  1.36111E-6 1.36111E-6
