2452342.95 16.2200 0.0300
2452344.01 15.7100 0.1200
2452345.02 15.2200 0.0300
2452345.99 14.9300 0.0700
2452346.92 14.7100 0.0300
2452348.89 14.3900 0.0200
2452350.89 14.0700 0.0200
2452352.05 13.8800 0.0700
2452352.75 13.8800 0.0200
2452352.96 13.7600 0.0300
2452354.84 13.6800 0.1000
2452356.87 13.6800 0.0200
2452358.85 13.6400 0.0300
2452360.74 13.6500 0.0200
2452361.08 13.6600 0.0400
2452362.74 13.7700 0.0200
2452366.84 14.0000 0.0200
2452372.85 14.3100 0.0200
2452374.89 14.4700 0.0300
2452378.80 14.6600 0.0300
2452387.88 15.2000 0.0300
2452399.86 15.7000 0.0500
2452400.89 15.6300 0.0500
2452406.85 16.1300 0.0500
2452409.83 16.1600 0.0600
2452409.95 15.8600 0.0600
2452420.86 16.6000 0.1800
2452435.87 16.4700 0.0600
2452439.98 16.7100 0.0600
2452452.92 16.9800 0.0400
2452454.94 17.0600 0.0600
2452457.94 17.2000 0.0500
