2452342.95 15.8600 0.0300
2452344.01 15.4300 0.1000
2452345.02 14.9500 0.0600
2452345.99 14.5600 0.0600
2452346.92 14.3000 0.0300
2452348.89 13.8600 0.0400
2452350.89 13.6300 0.0500
2452352.05 13.5700 0.0800
2452352.75 13.5400 0.0300
2452352.96 13.5600 0.0400
2452354.84 13.5500 0.1000
2452356.87 13.5700 0.0200
2452358.85 13.6700 0.0400
2452360.74 13.6400 0.0300
2452361.08 13.7700 0.0400
2452362.74 13.7500 0.0200
2452366.84 13.9100 0.0500
2452372.85 13.9900 0.0500
2452374.89 13.9800 0.0500
2452378.80 13.8700 0.0300
2452387.88 14.0200 0.1700
2452399.86 14.8200 0.0600
2452400.89 14.9200 0.0500
2452401.82 14.8900 0.0700
2452406.85 15.2600 0.1100
2452409.83 15.2300 0.1100
2452409.95 15.3600 0.0400
2452420.86 15.9400 0.1800
2452435.87 16.5400 0.0400
2452439.98 16.6400 0.0500
2452452.92 16.9300 0.0900
2452454.94 17.1200 0.0600
2452457.94 17.0700 0.1000 
