

     Spectrum        Iteration =   0

        0.250131              1             0.740           1        45.7708
        0.250392              0             0.000           1       -99.0000
        0.250654              0             0.000           1       -99.0000
        0.250917              0             0.000           1       -99.0000
        0.251179              0             0.000           1       -99.0000
        0.251442              1             0.880           2        45.8438
        0.251705              0             0.000           2       -99.0000
        0.251968              0             0.000           2       -99.0000
        0.252232              0             0.000           2       -99.0000
        0.252496              0             0.000           2       -99.0000
        0.252760              0             0.000           2       -99.0000
        0.253025              0             0.000           2       -99.0000
        0.253289              0             0.000           2       -99.0000
        0.253554              1             0.884           3        45.8425
        0.253820              0             0.000           3       -99.0000
        0.254085              0             0.000           3       -99.0000
        0.254351              1             0.922           4        45.8591
        0.254617              1             0.886           5        45.8416
        0.254884              0             0.000           5       -99.0000
        0.255150              0             0.000           5       -99.0000
        0.255417              0             0.000           5       -99.0000
        0.255685              1             0.820           6        45.8061
        0.255952              0             0.000           6       -99.0000
        0.256220              0             0.000           6       -99.0000
        0.256488              0             0.000           6       -99.0000
        0.256756              1             0.815           7        45.8013
        0.257025              0             0.000           7       -99.0000
        0.257294              0             0.000           7       -99.0000
        0.257563              2             1.696           9        46.1183
        0.257833              0             0.000           9       -99.0000
        0.258102              0             0.000           9       -99.0000
        0.258372              1             0.832          10        45.8077
        0.258643              0             0.000          10       -99.0000
        0.258913              1             0.856          11        45.8192
        0.259184              0             0.000          11       -99.0000
        0.259455              0             0.000          11       -99.0000
        0.259727              0             0.000          11       -99.0000
        0.259999              0             0.000          11       -99.0000
        0.260271              0             0.000          11       -99.0000
        0.260543              0             0.000          11       -99.0000
        0.260816              0             0.000          11       -99.0000
        0.261088              0             0.000          11       -99.0000
        0.261362              0             0.000          11       -99.0000
        0.261635              0             0.000          11       -99.0000
        0.261909              0             0.000          11       -99.0000
        0.262183              1             0.822          12        45.7961
        0.262457              1             0.732          13        45.7456
        0.262732              0             0.000          13       -99.0000
        0.263007              0             0.000          13       -99.0000
        0.263282              1             0.791          14        45.7777
        0.263557              0             0.000          14       -99.0000
        0.263833              0             0.000          14       -99.0000
        0.264109              0             0.000          14       -99.0000
        0.264385              1             0.920          15        45.8414
        0.264662              0             0.000          15       -99.0000
        0.264939              0             0.000          15       -99.0000
        0.265216              0             0.000          15       -99.0000
        0.265494              0             0.000          15       -99.0000
        0.265772              0             0.000          15       -99.0000
        0.266050              0             0.000          15       -99.0000
        0.266328              1             0.946          16        45.8505
        0.266607              1             0.917          17        45.8364
