
                  LOG R/RS     LOG L/LS         VEL LB          TB

                   4.303       9.680            8250.0       10000.0

        6   C      0.000500     0.000500     0.001215
        8   O      0.001574     0.001574     0.002872
       12   MG     0.200000     0.200000     0.240263
       14   SI     0.575000     0.575000     0.597764
       16   S      0.115000     0.115000     0.104734
       20   CA     0.013333     0.013333     0.009713
       22   TI     0.000160     0.000160     0.000098
       24   CR     0.000800     0.000800     0.000449
       26   FE     0.020000     0.020000     0.010456
       27   CO     0.023609     0.023609     0.011697
       28   NI     0.003208     0.003208     0.001595
       31   GA     0.029749     0.029749     0.012409
       32   GE     0.017067     0.017067     0.006734

     No. of ions =  30            Total No. Included = 46255

    0.099  2379.201  2517.3357  CO II       -3.49   -28112.06   -1.710
    0.052  2424.342  2517.3625  FE III     -13.13  -105906.23   -3.070
    1.171  2378.131  2517.4376  CO II       -3.14   -25317.65   -0.798
    1.103  2413.988  2518.2032  CR III      -8.89   -71677.19   -1.568
    0.148  2411.553  2518.2592  CR III      -7.12   -57423.40   -3.109
    5.585  2382.616  2519.0480  FE II       -3.39   -27314.92    0.127
    0.053  2373.657  2519.1036  FE II       -0.30    -2430.10   -3.421
    0.221  2383.129  2519.4090  FE II       -3.34   -26932.75   -1.320
    0.278  2415.038  2519.6434  CR III      -8.65   -69781.89   -2.258
    1.470  2412.982  2519.7281  CR III      -7.12   -57423.40   -2.108
    9.376  2374.005  2519.8230  CO II       -1.33   -10708.47   -0.760
   11.964  2423.952  2520.1609  FE III     -10.31   -83161.48   -1.643
    0.276  2427.934  2520.3178  CO III     -10.70   -86327.10   -3.424
    4.602  2424.557  2520.6112  FE III     -10.32   -83237.86   -2.088
    0.406  2384.120  2520.6748  FE II       -3.27   -26352.77   -1.090
    0.129  2383.717  2520.8275  CO II       -3.87   -31199.52   -1.413
    3.576  2384.767  2521.0923  FE II       -3.42   -27620.41   -0.058
    0.242  2430.855  2521.2321  NI III     -10.00   -80621.10   -3.194
    0.238  2394.102  2521.4850  FE II       -7.27   -58631.53    0.504
    3.159  2387.392  2521.8162  FE II       -4.15   -33501.25    0.228
    2.335  2383.680  2522.2007  FE II       -2.63   -21251.61   -0.624
    2.449  2433.272  2522.2140  NI III     -12.15   -97995.81   -1.443
    0.175  2431.788  2522.4215  NI III      -9.73   -78482.43   -3.427
    3.836  2388.364  2522.8922  FE II       -4.15   -33466.46    0.313
    1.728  2384.233  2522.9570  CO II       -3.42   -27585.31   -0.494
   15.256  2432.982  2524.3503  NI III      -9.81   -79143.01   -1.376
    2.885  2384.432  2524.6379  CO II       -3.01   -24267.57   -0.466
    0.421  2384.999  2524.6744  CO II       -3.14   -25317.65   -1.247
   38.625  2377.896  2524.9682  CO II       -1.40   -11321.96    0.005
    0.255  2428.885  2525.0233  FE III     -10.32   -83237.86   -3.364
    1.683  2429.037  2525.0771  FE III     -10.43   -84159.55   -2.498
    1.622  2384.830  2525.0850  CO II       -2.98   -24074.60   -0.732
    0.520  2390.648  2525.1092  FE II       -4.15   -33501.25   -0.568
   20.208  2385.587  2525.3885  FE II       -2.63   -21251.61    0.389
    0.210  2389.035  2525.8602  FE II       -3.27   -26352.77   -1.380
    0.419  2392.797  2525.8626  FE II       -4.73   -38164.19   -0.395
    0.060  2395.091  2525.9193  FE II        4.79    38660.04   -0.328
    0.390  2388.636  2526.0415  CO II       -3.87   -31199.52   -0.933
    5.243  2387.295  2526.0755  FE II       -2.68   -21581.64   -0.243
    0.109  2389.150  2526.1103  FE II       -3.22   -25981.63   -1.686
   14.157  2386.694  2526.2948  FE II       -2.58   -20830.58    0.181
    3.485  2431.851  2526.3180  FE III     -12.03   -97041.38   -1.612
    0.485  2381.086  2526.8319  FE II       -0.35    -2837.95   -2.432
    1.175  2430.677  2526.8873  FE III     -10.34   -83358.88   -2.692
